,bootstrap,ccp_alpha,class_weight,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start,score,best_parameters
153,False,0.0,,entropy,,0.1,,,0.0,17,8,0.0,2,-1,False,42,0,False,0.8424285714285714,
154,True,0.0,,gini,,0.1,,,0.0,17,8,0.0,2,-1,False,42,0,False,0.8294285714285714,
155,True,0.0,,entropy,,0.1,,,0.0,17,8,0.0,2,-1,False,42,0,False,0.832,
156,False,0.0,,gini,,0.1,,,0.0,20,8,0.0,2,-1,False,42,0,False,0.836,
157,False,0.0,,entropy,,0.1,,,0.0,20,8,0.0,2,-1,False,42,0,False,0.8424285714285714,
158,True,0.0,,gini,,0.1,,,0.0,20,8,0.0,2,-1,False,42,0,False,0.8255714285714286,
159,True,0.0,,entropy,,0.1,,,0.0,20,8,0.0,2,-1,False,42,0,False,0.8261428571428572,
160,False,0.0,,gini,,0.1,,,0.0,1,10,0.0,2,-1,False,42,0,False,0.8144285714285714,
161,False,0.0,,entropy,,0.1,,,0.0,1,10,0.0,2,-1,False,42,0,False,0.83,
162,True,0.0,,gini,,0.1,,,0.0,1,10,0.0,2,-1,False,42,0,False,0.8127142857142857,
163,True,0.0,,entropy,,0.1,,,0.0,1,10,0.0,2,-1,False,42,0,False,0.8124285714285714,
164,False,0.0,,gini,,0.1,,,0.0,3,10,0.0,2,-1,False,42,0,False,0.8225714285714286,
165,False,0.0,,entropy,,0.1,,,0.0,3,10,0.0,2,-1,False,42,0,False,0.8265714285714286,
166,True,0.0,,gini,,0.1,,,0.0,3,10,0.0,2,-1,False,42,0,False,0.8177142857142857,
167,True,0.0,,entropy,,0.1,,,0.0,3,10,0.0,2,-1,False,42,0,False,0.8134285714285714,
168,False,0.0,,gini,,0.1,,,0.0,5,10,0.0,2,-1,False,42,0,False,0.8297142857142857,
